obs_id,alt_id,CHOICE,travel_time_hrs,headway_hrs,travel_cost_hundreth
1,1,0,1.866666667,2,0.48
1,2,1,1.05,0.333333333,0.52
1,3,0,1.95,0,0.65
2,1,0,1.716666667,0.5,0.48
2,2,1,1,0.166666667,0.49
2,3,0,1.95,0,0.84
3,1,0,2.166666667,1,0.48
3,2,1,1.116666667,0.5,0.58
3,3,0,1.95,0,0.52
4,1,0,1.716666667,0.5,0.4
4,2,1,1.05,0.333333333,0.52
4,3,0,1.2,0,0.52
5,1,0,2.166666667,1,0.36
5,2,1,1.05,0.333333333,0.42
5,3,0,1.5,0,0.84
6,1,0,1.866666667,2,0.36
6,2,1,1,0.166666667,0.49
6,3,0,1.5,0,0.52
7,1,0,1.716666667,2,0.48
7,2,1,1.116666667,0.166666667,0.58
7,3,0,1.2,0,0.65
8,1,1,1.716666667,0.5,0.36
8,2,0,1.116666667,0.5,0.43
8,3,0,1.5,0,0.65
9,1,0,2.166666667,1,0.4
9,2,1,1,0.166666667,0.46
9,3,0,1.2,0,0.65
10,1,0,3.066666667,2,0.62
10,2,1,1.266666667,0.333333333,0.7
11,1,0,2.833333333,0.5,0.62
11,2,1,1.166666667,0.166666667,0.66
12,1,0,3.55,1,0.62
12,2,1,1.4,0.5,0.82
13,1,0,2.833333333,0.5,0.52
13,2,1,1.266666667,0.333333333,0.72
14,1,0,3.55,1,0.47
14,2,1,1.266666667,0.333333333,0.53
15,1,0,3.066666667,2,0.47
15,2,1,1.166666667,0.166666667,0.66
16,1,0,2.833333333,2,0.62
16,2,1,1.4,0.166666667,0.82
17,1,0,2.833333333,0.5,0.47
17,2,1,1.4,0.5,0.57
18,1,0,3.55,1,0.52
18,2,1,1.166666667,0.166666667,0.62
19,1,0,0.966666667,0.5,0.32
19,2,1,0.483333333,0.166666667,0.35
19,3,0,1.75,0,0.4
20,1,0,0.966666667,0.5,0.29
20,2,1,0.416666667,0.333333333,0.38
20,3,0,2.266666667,0,0.5
21,1,0,0.966666667,2,0.32
21,2,1,0.45,0.166666667,0.4
21,3,0,2.266666667,0,0.65
22,1,0,0.783333333,1,0.29
22,2,1,0.416666667,0.5,0.38
22,3,0,1.4,0,0.65
23,1,0,0.85,0.5,0.32
23,2,1,0.416666667,0.5,0.36
23,3,0,2.266666667,0,0.4
24,1,0,0.85,1,0.38
24,2,1,0.416666667,0.333333333,0.42
24,3,0,1.4,0,0.4
25,1,0,0.85,0.5,0.29
25,2,1,0.45,0.166666667,0.32
25,3,0,1.4,0,0.5
26,1,0,0.85,1,0.32
26,2,1,0.45,0.5,0.4
26,3,0,1.75,0,0.5
27,1,0,0.966666667,0.5,0.38
27,2,1,0.45,0.5,0.42
27,3,0,1.4,0,0.65
