originTAZ,destTAZ,tt_da,cost_da,tt_sr,cost_sr,tt_walk,tt_bike,tt_wt,accTime_wt,egrTime_wt,iWait_wt,xWait_wt,cost_wt,tt_dt,accTime_dt,egrTime_dt,iWait_dt,xWait_dt,cost_dt,weights,dist_car,accDist_dt,avail_da,avail_sr,avail_walk,avail_bike,avail_wt,avail_dt,choice,obsID
1308,1300,33.85,1.9765,33.85,0.98824,216.87,37.35,0,0,0,0,0,0,0,0,0,0,0,0,21,11.2,0,1,1,0,0,0,0,1,1
1269,1284,31.71,2.5306,31.71,1.2653,277.59,47.81,0,0,0,0,0,0,16.705,22.05,26.35,24,33.75,4.24,51.5,14.34,14.32,1,1,0,1,0,1,2,2
342,429,70.77,6.8065,70.77,3.4032,615.72,106.04,71.7,21.6,8,12,26.25,5.29,86.355,13.78,39.62,24,21.25,6.01,37,38.57,16.4,1,1,0,0,0,1,1,3
627,583,31.48,2.6929,31.48,1.3465,249.6,42.99,70.435,20.2,20.2,15,15,4.24,6.71,23.12,24.99,4.605,0,2.12,137,15.26,12.77,1,1,0,1,1,1,2,4
1296,1310,40.02,3.7006,40.02,1.8503,395.21,68.06,0,0,0,0,0,0,0,0,0,0,0,0,46,20.97,0,1,1,0,0,0,0,1,5
1296,1310,40.02,3.7006,40.02,1.8503,395.21,68.06,0,0,0,0,0,0,0,0,0,0,0,0,46,20.97,0,1,1,0,0,0,0,1,6
1296,1295,22.19,1.0447,22.19,0.52235,114.77,19.77,0,0,0,0,0,0,0,0,0,0,0,0,46,5.92,0,1,1,1,0,0,0,1,7
506,471,28.08,2.6171,28.08,1.3085,203.05,34.97,0,0,0,0,0,0,65.665,27.26,32.6,10,12.5,3.78,161,14.83,15.27,1,1,0,0,0,1,1,8
480,355,81.56,6.1253,73.99,3.0626,604.22,104.06,0,0,0,0,0,0,55.83,28.29,27.07,10.625,12.07,4,55.5,34.71,13.9,1,1,0,0,0,1,1,9
480,355,81.56,6.1253,73.99,3.0626,604.22,104.06,0,0,0,0,0,0,55.83,28.29,27.07,10.625,12.07,4,55.5,34.71,13.9,1,1,0,0,0,1,1,10
480,403,52.11,4.0306,46.45,2.0153,382.59,65.89,0,0,0,0,0,0,21,39.45,33.1,15,0,1.66,55.5,22.84,20.17,1,1,0,0,0,1,1,11
480,403,52.11,4.0306,46.45,2.0153,382.59,65.89,0,0,0,0,0,0,21,39.45,33.1,15,0,1.66,55.5,22.84,20.17,1,1,0,0,0,1,1,12
1362,1335,98.63,6.9212,98.63,3.4606,650.4,112.01,154.65,28.7,22.2,19.68,12,3.585,160.44,22.42,22.79,16.2,19.5,3.72,217,39.22,6.8,1,1,0,0,1,1,2,13
648,661,54.8,3.0971,51.6,1.5485,331.08,57.02,0,0,0,0,0,0,26.54,41.69,39.93,10,0,1.66,116,17.55,15.74,1,1,0,0,0,1,2,14
1029,970,52.65,2.2782,52.65,1.1391,233.77,40.26,34.875,19.5,19.5,8.415,7.615,3.67,23,14.49,15.35,7.5,0,1.74,34.5,12.91,4.69,1,1,0,1,1,1,2,15
1005,2,96.39,6.5176,96.39,3.2588,477.79,82.29,78.8,28.4,24.4,17.5,7.5,3.99,42.8,11.24,11.3,7.5,0,3.86,123,27.98,4.62,1,1,0,0,1,1,6,16
1005,1161,74.97,6.2982,67.76,3.1491,668.26,115.09,0,0,0,0,0,0,0,0,0,0,0,0,123,35.69,0,1,1,0,0,0,0,1,17
1203,1198,23.06,1.0218,23.06,0.51088,106.25,18.3,42.155,12.6,12.6,24,0,2.12,72.32,37.1,36.54,13.86,10,3.67,234.5,5.79,15.74,1,1,1,0,1,1,2,18
298,396,88.01,5.2535,79.23,2.6268,533.65,91.91,0,0,0,0,0,0,30.01,39.73,45.82,22,20,4.12,42,29.77,25.09,1,1,0,0,0,1,1,19
450,484,37.71,1.6341,37.71,0.81706,179.06,30.84,40.69,19.8,19.8,18,17.5,4.24,97.7,20.2,19.67,17,17.5,3.78,68,9.26,6.39,1,1,0,1,1,1,1,20
450,484,37.43,1.6341,37.43,0.81706,179.06,30.84,37.94,19.8,19.8,20,20,4.24,98.175,19.75,20.45,15,20,3.78,68,9.26,6.86,1,1,0,1,1,1,1,21
450,403,30.73,1.3059,30.73,0.65294,142.53,24.55,30.865,16.2,16.2,15,10,2.95,21,19.6,19.85,10,0,1.66,68,7.4,6.39,1,1,1,1,1,1,1,22
831,831,7.34,0.18,7.34,0.09,24.53,4.22,0,0,0,0,0,0,0,0,0,0,0,0,78,1.02,0,1,1,1,0,0,0,1,23
831,831,7.34,0.18,7.34,0.09,24.53,4.22,0,0,0,0,0,0,0,0,0,0,0,0,78,1.02,0,1,1,1,0,0,0,1,24
991,1014,29.74,0.76235,29.74,0.38118,83.51,14.38,24.96,16.8,23.4,16.62,3.75,2.06,23.34,20.81,28.02,14.1,7.5,6.66,59,4.32,2.16,1,1,1,0,1,1,1,25
1184,1211,109.67,10.587,102.94,5.2935,974.54,167.84,0,0,0,0,0,0,0,0,0,0,0,0,123,51.04,0,1,1,0,0,0,0,1,26
1184,1188,18.29,0.74471,18.29,0.37235,81.76,14.08,18.6,21.8,21.8,24,0,2.12,5.255,15.38,15.23,19.5,0,2.12,123,4.22,2.66,1,1,1,0,1,1,2,27
292,280,21.05,1.4276,21.05,0.71382,153.95,26.51,0,0,0,0,0,0,3,20,14.38,12,0,1.17,103,8.09,5.08,1,1,1,1,0,0,1,28
292,212,58.17,4.7171,58.17,2.3585,486.17,83.73,0,0,0,0,0,0,0,0,0,0,0,0,103,26.73,0,1,1,0,0,0,0,2,29
537,429,40.69,2.8765,40.69,1.4382,260.65,44.89,71.05,16.7,19.7,15.29,14.785,3.845,49.28,12.64,11.24,20.08,20.82,4.62,88,16.3,1.5,1,1,0,1,1,1,1,30
537,409,42.84,2.2994,42.84,1.1497,244.18,42.05,49.86,25.8,25.8,10,0,1.66,58,13.56,14.26,10,0,1.66,88,13.03,4.81,1,1,0,1,1,1,1,31
537,409,42.84,2.2994,42.84,1.1497,244.18,42.05,49.86,25.8,25.8,10,0,1.66,58,13.56,13.94,10,0,1.66,88,13.03,4.81,1,1,0,1,1,1,1,32
1001,1063,59.27,4.0394,59.27,2.0197,372.74,64.19,30,29.2,29.2,7.5,0,1.66,30,19.27,19.8,7.5,0,1.66,340,22.89,1.48,1,1,0,1,1,1,1,33
1003,30,96.87,5.8965,96.87,2.9482,451.8,77.81,49,26,26.6,17.5,0,3.86,45.5,15.35,21.6,12.5,0,3.76,135,24.46,3.14,1,1,0,0,1,1,6,34
1003,1145,75.6,5.2041,75.6,2.6021,527.52,90.85,45.52,12,12,11.25,11.25,5.21,30,14.5,14.8,7.5,0,3.2,135,29.49,3.04,1,1,0,0,1,1,1,35
1036,16,94.15,6.0218,94.15,3.0109,463.08,79.75,72.195,14.6,14.8,9.26,13.775,6.115,58.8,11.62,11.82,17.5,0,4.34,92,25.17,2.28,1,1,0,0,1,1,6,36
446,427,18.05,0.46941,18.05,0.23471,51.4,8.85,27.495,12.2,12.2,24,30,4.24,28.125,8.25,8.1,19.5,30,5.22,33,2.66,1.78,1,1,1,1,1,1,2,37
446,427,18.05,0.46941,18.05,0.23471,51.4,8.85,28.98,12.2,22.2,24,24.57,4.28,29.505,8.25,8.47,19.5,24.57,5.22,33,2.66,1.78,1,1,1,1,1,1,1,38
137,17,42.07,1.9253,42.07,0.96265,188.83,32.52,32.67,27.8,22.6,6,5,2.49,35.6,25.68,25.63,3.38,0,3.26,45.5,10.91,8.07,0,1,0,0,1,0,5,39
137,17,42.07,1.9253,42.07,0.96265,188.83,32.52,32.67,27.8,22.6,6,5,2.49,35.6,25.68,25.63,3.38,0,3.26,45.5,10.91,8.07,0,1,0,0,1,0,5,40
137,147,23.38,0.74471,23.38,0.37235,77.3,13.31,30.515,10.6,10.5,16.25,0,1.66,52.935,20.75,27.03,9.485,2.93,3.975,45.5,4.22,8.42,0,1,1,0,1,0,5,41
137,147,23.38,0.74471,23.38,0.37235,77.3,13.31,30.515,10.6,10.5,16.25,0,1.66,52.935,20.75,27.03,9.485,2.93,3.975,45.5,4.22,8.42,0,1,1,0,1,0,5,42
1389,1325,211.56,11.051,211.56,5.5253,1142.09,196.69,0,0,0,0,0,0,0,0,0,0,0,0,89,62.62,0,1,1,0,0,0,0,1,43
801,331,61.53,6.1012,55.75,2.2606,495.85,85.4,67.885,28.2,28.2,19.62,0,2.12,33.57,33.22,33.21,19.62,0,2.12,66.5,25.62,7.16,1,1,0,0,1,1,1,44
